"lsoa11cd","date","lsoa11nm","Rural Urban","NS-SeC: All categories: NS-SeC; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: L1 Employers in large establishments; measures: Value","NS-SeC: L2 Higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: L3.1 Traditional employees; measures: Value","NS-SeC: L3.2 New employees; measures: Value","NS-SeC: L3.3 Traditional self-employed; measures: Value","NS-SeC: L3.4 New self-employed; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: L4 Lower professional and higher technical occupations; measures: Value","NS-SeC: L4.1 Traditional employees; measures: Value","NS-SeC: L4.2 New employees; measures: Value","NS-SeC: L4.3 Traditional self-employed; measures: Value","NS-SeC: L4.4 New self-employed; measures: Value","NS-SeC: L5 Lower managerial and administrative occupations; measures: Value","NS-SeC: L6 Higher supervisory occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: L7.1 Intermediate clerical and administrative occupations; measures: Value","NS-SeC: L7.2 Intermediate sales and service occupations; measures: Value","NS-SeC: L7.3 Intermediate technical and auxiliary occupations; measures: Value","NS-SeC: L7.4 Intermediate engineering occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: L8 Employers in small establishments; measures: Value","NS-SeC: L8.1 Employers in small establishments in industry, commerce, services etc.; measures: Value","NS-SeC: L8.2 Employers in small establishments in agriculture; measures: Value","NS-SeC: L9 Own account workers; measures: Value","NS-SeC: L9.1 Own account workers (non-professional); measures: Value","NS-SeC: L9.2 Own account workers (agriculture); measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: L10 Lower supervisory occupations; measures: Value","NS-SeC: L11 Lower technical occupations; measures: Value","NS-SeC: L11.1 Lower technical craft occupations; measures: Value","NS-SeC: L11.2 Lower technical process operative occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: L12.1 Semi-routine sales occupations; measures: Value","NS-SeC: L12.2 Semi-routine service occupations; measures: Value","NS-SeC: L12.3 Semi-routine technical occupations; measures: Value","NS-SeC: L12.4 Semi-routine operative occupations; measures: Value","NS-SeC: L12.5 Semi-routine agricultural occupations; measures: Value","NS-SeC: L12.6 Semi-routine clerical occupations; measures: Value","NS-SeC: L12.7 Semi-routine childcare occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: L13.1 Routine sales and service occupations; measures: Value","NS-SeC: L13.2 Routine production occupations; measures: Value","NS-SeC: L13.3 Routine technical occupations; measures: Value","NS-SeC: L13.4 Routine operative occupations; measures: Value","NS-SeC: L13.5 Routine agricultural occupations; measures: Value","NS-SeC: 8. Never worked and long-term unemployed; measures: Value","NS-SeC: L14.1 Never worked; measures: Value","NS-SeC: L14.2 Long-term unemployed; measures: Value","NS-SeC: Not classified; measures: Value","NS-SeC: L15 Full-time students; measures: Value","NS-SeC: L17 Not classifiable for other reasons; measures: Value"
"E01026803",2011,"Norwich 004A","Total",930,32,6,0,6,26,13,11,2,0,105,52,42,4,6,0,27,26,100,53,33,11,3,69,9,9,0,60,60,0,80,47,33,29,4,219,83,71,11,38,1,14,1,194,28,22,60,83,1,77,50,27,54,54,0
"E01026804",2011,"Norwich 004B","Total",984,44,5,0,5,39,21,14,3,1,171,101,81,13,6,1,45,25,127,70,39,15,3,83,16,16,0,67,66,1,97,52,45,40,5,201,74,81,9,25,1,8,3,162,14,22,46,75,5,39,23,16,60,60,0
"E01026805",2011,"Norwich 004C","Total",907,22,10,0,10,12,9,0,1,2,80,35,25,6,3,1,20,25,104,60,32,8,4,82,15,15,0,67,66,1,90,44,46,40,6,238,92,75,20,33,0,14,4,192,21,18,60,93,0,45,27,18,54,54,0
"E01026806",2011,"Norwich 004D","Total",1246,62,17,0,17,45,20,19,3,3,201,127,104,7,15,1,43,31,161,92,48,13,8,132,33,31,2,99,98,1,114,57,57,53,4,241,71,85,14,43,3,21,4,209,23,18,78,86,4,82,67,15,44,44,0
"E01026807",2011,"Norwich 004E","Total",893,76,16,0,16,60,28,27,5,0,192,136,105,13,15,3,32,24,114,71,30,9,4,72,14,14,0,58,58,0,66,36,30,27,3,172,46,83,11,18,0,10,4,124,17,11,37,57,2,34,22,12,43,43,0
"E01026808",2011,"Norwich 004F","Total",887,32,3,0,3,29,17,7,5,0,113,61,50,4,5,2,37,15,72,39,25,6,2,62,12,12,0,50,50,0,75,49,26,23,3,197,62,89,17,21,1,6,1,173,22,9,34,107,1,89,58,31,74,74,0
"E01026809",2011,"Norwich 004G","Total",1054,28,6,0,6,22,11,10,0,1,107,54,42,7,4,1,37,16,127,68,39,15,5,79,12,12,0,67,67,0,98,58,40,35,5,263,107,80,19,39,2,11,5,231,26,21,59,123,2,81,49,32,40,40,0
"E01026810",2011,"Norwich 012A","Total",963,189,35,0,35,154,107,24,19,4,234,159,135,12,12,0,45,30,134,97,22,13,2,81,28,28,0,53,52,1,37,17,20,18,2,99,29,34,5,9,2,15,5,61,9,7,18,27,0,25,14,11,103,103,0
"E01026811",2011,"Norwich 012B","Total",1051,257,43,0,43,214,131,34,46,3,334,248,201,17,29,1,53,33,145,103,25,12,5,83,19,19,0,64,63,1,37,22,15,14,1,72,24,24,1,8,1,12,2,37,9,3,15,10,0,13,7,6,73,73,0
"E01026812",2011,"Norwich 012C","Total",1044,199,28,0,28,171,117,40,9,5,315,223,185,12,24,2,60,32,165,111,34,16,4,80,27,26,1,53,53,0,51,27,24,20,4,108,39,42,2,5,1,15,4,50,12,4,18,16,0,17,10,7,59,59,0
"E01026813",2011,"Norwich 012D","Total",990,200,26,2,24,174,110,34,24,6,294,212,172,17,20,3,45,37,153,96,35,17,5,65,21,21,0,44,44,0,34,19,15,15,0,98,32,30,3,9,1,14,9,49,20,0,11,17,1,24,15,9,73,73,0
"E01026814",2011,"Norwich 012E","Total",1051,92,16,0,16,76,57,16,3,0,130,88,68,6,14,0,24,18,119,60,34,19,6,77,15,15,0,62,62,0,65,38,27,21,6,182,63,63,12,25,0,12,7,149,33,10,44,62,0,43,26,17,194,194,0
"E01026815",2011,"Norwich 012F","Total",1084,256,36,2,34,220,139,37,42,2,335,255,196,11,45,3,57,23,103,70,25,8,0,79,18,17,1,61,60,1,28,17,11,11,0,63,18,24,3,5,1,11,1,31,5,1,9,15,1,19,15,4,170,170,0
"E01026816",2011,"Norwich 013A","Total",1324,167,25,0,25,142,73,54,11,4,349,251,197,25,22,7,62,36,180,103,58,17,2,104,25,25,0,79,78,1,59,33,26,22,4,193,69,76,6,14,1,15,12,114,14,5,41,54,0,73,50,23,85,85,0
"E01026817",2011,"Norwich 013B","Total",1009,97,25,1,24,72,44,15,12,1,176,123,100,9,13,1,33,20,121,74,27,14,6,79,12,12,0,67,67,0,66,39,27,25,2,223,65,85,10,37,2,20,4,136,17,17,26,74,2,69,51,18,42,42,0
"E01026818",2011,"Norwich 013C","Total",1021,54,10,0,10,44,24,16,2,2,136,86,64,13,8,1,28,22,85,45,22,16,2,85,13,13,0,72,71,1,92,55,37,35,2,229,86,97,10,22,2,8,4,197,26,21,58,91,1,78,47,31,65,65,0
"E01026819",2011,"Norwich 013D","Total",1022,43,13,0,13,30,12,12,4,2,142,82,59,15,8,0,38,22,102,41,46,12,3,60,11,11,0,49,49,0,83,51,32,29,3,225,76,99,13,22,1,10,4,204,25,19,55,102,3,91,70,21,72,72,0
"E01026820",2011,"Norwich 013E","Total",1134,47,15,0,15,32,14,12,4,2,152,89,71,9,9,0,43,20,108,57,34,13,4,82,12,11,1,70,70,0,114,55,59,51,8,259,99,98,14,29,1,13,5,222,31,15,70,103,3,74,51,23,76,76,0
"E01026821",2011,"Norwich 013F","Total",1020,38,9,0,9,29,12,14,2,1,121,69,55,8,6,0,38,14,114,59,37,11,7,74,9,9,0,65,64,1,82,49,33,31,2,241,78,90,22,28,0,21,2,219,32,14,60,111,2,68,45,23,63,63,0
"E01026822",2011,"Norwich 007A","Total",1674,204,22,0,22,182,110,52,14,6,321,216,164,19,28,5,79,26,192,110,57,23,2,114,21,21,0,93,93,0,125,84,41,38,3,244,67,118,15,23,3,10,8,177,33,16,32,91,5,135,80,55,162,162,0
"E01026823",2011,"Norwich 007B","Total",1687,269,28,1,27,241,137,71,26,7,348,228,172,22,30,4,82,38,183,108,47,23,5,122,35,35,0,87,86,1,110,83,27,23,4,208,75,90,4,19,0,14,6,127,35,10,33,47,2,85,51,34,235,235,0
"E01026824",2011,"Norwich 007C","Total",1183,88,10,0,10,78,54,18,6,0,185,126,97,15,11,3,40,19,124,71,31,15,7,85,14,14,0,71,71,0,78,45,33,30,3,230,88,81,16,29,1,9,6,201,32,13,56,97,3,76,40,36,116,116,0
"E01026825",2011,"Norwich 007D","Total",1065,92,14,0,14,78,38,30,7,3,227,158,121,12,21,4,48,21,112,73,26,11,2,92,15,15,0,77,76,1,74,39,35,33,2,162,68,49,13,15,0,14,3,130,22,13,35,59,1,63,40,23,113,113,0
"E01026826",2011,"Norwich 007E","Total",1100,69,11,0,11,58,30,23,2,3,188,129,96,12,19,2,47,12,113,57,36,16,4,90,25,25,0,65,65,0,83,57,26,24,2,199,63,87,6,22,1,18,2,183,27,15,43,98,0,105,62,43,70,70,0
"E01026827",2011,"Norwich 007F","Total",1110,51,6,0,6,45,24,14,5,2,140,77,61,5,10,1,36,27,117,56,37,14,10,89,22,22,0,67,66,1,84,52,32,28,4,228,83,92,15,18,0,16,4,229,27,19,64,119,0,106,67,39,66,66,0
"E01026828",2011,"Norwich 002A","Total",1182,38,8,0,8,30,13,14,1,2,119,59,46,7,4,2,41,19,124,60,38,17,9,74,23,23,0,51,51,0,99,60,39,35,4,238,91,81,10,39,2,13,2,309,35,37,77,159,1,101,65,36,80,80,0
"E01026829",2011,"Norwich 002B","Total",1522,88,11,0,11,77,46,25,5,1,225,145,109,23,11,2,56,24,190,95,65,13,17,97,18,18,0,79,78,1,123,68,55,47,8,303,119,115,13,31,3,17,5,259,43,19,57,137,3,124,77,47,113,113,0
"E01026830",2011,"Norwich 002C","Total",975,47,7,0,7,40,21,16,2,1,162,86,66,10,10,0,51,25,99,53,28,12,6,61,15,13,2,46,46,0,83,52,31,23,8,208,63,80,20,25,0,14,6,183,23,31,51,78,0,84,49,35,48,48,0
"E01026831",2011,"Norwich 002D","Total",1044,109,20,0,20,89,43,37,6,3,279,196,160,13,22,1,52,31,136,68,48,15,5,81,12,12,0,69,68,1,70,44,26,22,4,149,47,55,4,22,1,15,5,95,16,5,30,44,0,36,15,21,89,89,0
"E01026832",2011,"Norwich 002E","Total",936,24,8,0,8,16,10,5,1,0,82,49,39,5,5,0,25,8,102,48,38,10,6,68,9,9,0,59,58,1,85,48,37,35,2,208,63,82,12,36,4,9,2,195,25,23,47,100,0,98,63,35,74,74,0
"E01026833",2011,"Norwich 002F","Total",990,21,7,0,7,14,8,4,2,0,91,49,42,5,2,0,26,16,89,39,32,8,10,62,16,16,0,46,46,0,105,66,39,33,6,241,76,101,15,36,2,7,4,224,24,27,58,114,1,122,70,52,35,35,0
"E01026834",2011,"Norwich 002G","Total",1049,31,3,0,3,28,17,8,3,0,102,57,48,4,5,0,31,14,107,52,41,10,4,78,10,10,0,68,65,3,96,50,46,42,4,255,77,97,16,42,3,17,3,238,29,28,72,109,0,83,61,22,59,59,0
"E01026835",2011,"Norwich 009A","Total",1217,185,18,0,18,167,118,32,14,3,305,237,176,21,38,2,52,16,100,59,28,12,1,74,12,12,0,62,62,0,31,20,11,10,1,87,30,38,2,6,1,5,5,39,17,1,7,14,0,27,20,7,369,369,0
"E01026836",2011,"Norwich 009B","Total",1244,200,28,0,28,172,111,41,17,3,375,296,234,23,33,6,51,28,118,65,34,19,0,65,13,13,0,52,52,0,24,17,7,6,1,77,23,29,5,3,1,6,10,43,16,1,13,13,0,16,5,11,326,326,0
"E01026837",2011,"Norwich 009C","Total",1203,232,33,1,32,199,131,39,27,2,339,275,211,21,38,5,43,21,101,57,24,18,2,80,23,23,0,57,56,1,48,25,23,18,5,120,46,53,1,11,1,5,3,52,14,4,12,20,2,28,14,14,203,203,0
"E01026838",2011,"Norwich 009D","Total",1184,221,26,0,26,195,119,54,17,5,325,259,216,15,25,3,41,25,105,58,27,17,3,76,17,17,0,59,59,0,33,17,16,13,3,60,22,24,2,2,1,7,2,39,15,3,8,13,0,17,14,3,308,308,0
"E01026839",2011,"Norwich 009E","Total",1374,167,16,0,16,151,104,32,14,1,293,242,192,14,28,8,32,19,127,69,38,17,3,59,10,10,0,49,49,0,37,26,11,11,0,87,37,27,3,8,0,8,4,43,19,0,15,9,0,23,11,12,538,538,0
"E01026840",2011,"Norwich 009F","Total",1386,191,24,0,24,167,117,38,11,1,384,319,241,24,48,6,41,24,164,96,47,20,1,96,14,14,0,82,77,5,56,32,24,22,2,114,41,40,3,9,1,7,13,78,25,5,20,25,3,25,10,15,278,278,0
"E01026841",2011,"Norwich 003A","Total",1211,131,14,0,14,117,67,39,9,2,284,187,152,16,18,1,64,33,183,105,57,16,5,77,15,15,0,62,61,1,83,41,42,42,0,186,67,72,9,25,2,6,5,135,25,12,36,61,1,36,29,7,96,96,0
"E01026842",2011,"Norwich 003B","Total",1353,138,26,0,26,112,64,40,5,3,317,193,154,17,17,5,84,40,215,125,67,19,4,128,16,16,0,112,109,3,102,58,44,40,4,178,68,68,7,18,1,10,6,135,22,10,47,55,1,46,30,16,94,94,0
"E01026843",2011,"Norwich 003C","Total",1426,106,12,0,12,94,51,29,11,3,285,198,156,21,18,3,46,41,177,92,56,23,6,109,11,11,0,98,97,1,122,61,61,57,4,257,89,109,8,24,4,17,6,195,26,19,53,96,1,89,59,30,86,86,0
"E01026844",2011,"Norwich 003D","Total",1289,70,10,0,10,60,33,25,2,0,214,134,107,13,12,2,53,27,172,91,67,10,4,80,10,10,0,70,69,1,119,77,42,30,12,231,75,94,16,29,3,8,6,221,22,17,60,119,3,100,64,36,82,82,0
"E01026845",2011,"Norwich 003E","Total",1297,119,21,0,21,98,54,35,7,2,348,250,192,30,24,4,60,38,225,111,89,19,6,88,16,16,0,72,72,0,93,49,44,37,7,168,47,77,11,20,1,9,3,148,31,6,41,62,8,31,18,13,77,77,0
"E01026846",2011,"Norwich 003F","Total",1333,110,12,0,12,98,49,44,4,1,323,229,189,19,18,3,65,29,186,108,55,19,4,100,18,18,0,82,80,2,89,58,31,29,2,212,76,90,10,18,3,10,5,138,25,16,31,64,2,64,45,19,111,111,0
"E01026848",2011,"Norwich 015A","Total",1366,85,14,0,14,71,41,23,6,1,184,101,85,6,10,0,62,21,170,102,50,13,5,95,26,26,0,69,68,1,110,74,36,28,8,285,76,141,13,35,3,14,3,258,34,26,67,130,1,107,71,36,72,72,0
"E01026849",2011,"Norwich 015B","Total",1463,247,31,1,30,216,106,87,20,3,448,304,227,32,39,6,102,42,210,144,42,17,7,115,35,35,0,80,79,1,84,49,35,33,2,147,52,49,8,17,0,14,7,68,17,6,17,25,3,68,45,23,76,76,0
"E01026850",2011,"Norwich 015C","Total",1470,183,24,0,24,159,74,69,14,2,383,267,211,28,23,5,81,35,227,146,52,22,7,139,33,33,0,106,104,2,97,57,40,33,7,195,63,79,6,27,0,14,6,141,22,8,56,55,0,48,22,26,57,57,0
"E01026852",2011,"Norwich 011A","Total",924,196,41,0,41,155,96,38,19,2,292,221,178,14,26,3,44,27,132,96,23,9,4,71,14,14,0,57,56,1,38,19,19,18,1,78,29,26,3,3,1,10,6,37,9,3,11,14,0,14,10,4,66,66,0
"E01026853",2011,"Norwich 011B","Total",1342,159,22,0,22,137,63,65,7,2,254,171,136,20,13,2,51,32,157,98,38,17,4,99,21,21,0,78,77,1,103,62,41,35,6,227,88,90,10,20,3,12,4,192,27,13,62,90,0,82,49,33,69,69,0
"E01026855",2011,"Norwich 011D","Total",1286,191,21,0,21,170,99,55,15,1,332,250,204,16,25,5,55,27,130,78,36,15,1,104,36,36,0,68,68,0,51,35,16,16,0,125,43,54,5,6,0,11,6,74,14,6,18,36,0,34,20,14,245,245,0
"E01026856",2011,"Norwich 011E","Total",1566,208,15,0,15,193,134,43,11,5,382,319,247,28,39,5,43,20,137,83,37,16,1,68,13,13,0,55,55,0,42,25,17,13,4,102,42,38,1,7,0,7,7,85,23,3,19,38,2,50,27,23,492,492,0
"E01026857",2011,"Norwich 011F","Total",1122,204,34,0,34,170,108,27,29,6,316,237,171,17,47,2,51,28,101,60,26,13,2,79,20,19,1,59,57,2,38,24,14,12,2,69,28,24,1,7,0,4,5,60,20,3,11,24,2,19,12,7,236,236,0
"E01026858",2011,"Norwich 010A","Total",1069,44,7,0,7,37,32,3,1,1,117,80,61,8,11,0,18,19,77,40,21,14,2,50,8,8,0,42,40,2,77,44,33,32,1,190,62,81,10,24,2,6,5,188,19,18,59,91,1,67,35,32,259,259,0
"E01026859",2011,"Norwich 010B","Total",1104,86,13,0,13,73,51,17,2,3,207,140,113,7,20,0,47,20,107,69,24,11,3,67,9,9,0,58,58,0,75,46,29,28,1,153,59,55,10,16,1,6,6,121,21,16,25,59,0,60,41,19,228,228,0
"E01026860",2011,"Norwich 010C","Total",4026,74,10,0,10,64,47,12,2,3,109,78,61,5,10,2,22,9,81,45,20,12,4,49,6,6,0,43,42,1,43,20,23,21,2,110,39,44,5,9,0,8,5,94,16,13,22,43,0,60,42,18,3406,3406,0
"E01026861",2011,"Norwich 010D","Total",1143,39,11,0,11,28,20,6,2,0,96,51,47,2,2,0,27,18,85,46,31,7,1,65,8,8,0,57,57,0,71,39,32,26,6,187,74,73,7,21,1,10,1,167,20,9,39,97,2,74,44,30,359,359,0
"E01026862",2011,"Norwich 010E","Total",952,76,12,0,12,64,43,11,10,0,166,128,104,8,15,1,24,14,85,53,14,17,1,56,13,13,0,43,43,0,54,31,23,23,0,130,54,55,7,8,0,2,4,105,15,11,31,47,1,41,30,11,239,239,0
"E01026863",2011,"Norwich 006A","Total",1471,133,22,0,22,111,74,25,12,0,272,200,152,20,24,4,37,35,157,85,48,17,7,105,24,24,0,81,79,2,89,55,34,34,0,164,49,66,7,14,1,18,9,137,27,11,43,56,0,56,36,20,358,358,0
"E01026864",2011,"Norwich 006B","Total",1121,58,10,0,10,48,20,20,5,3,213,115,93,9,8,5,61,37,157,90,38,19,10,114,15,15,0,99,97,2,101,59,42,37,5,201,65,71,11,34,0,9,11,156,19,14,45,78,0,44,24,20,77,77,0
"E01026865",2011,"Norwich 006C","Total",1395,73,9,0,9,64,42,17,3,2,180,114,96,8,8,2,50,16,109,53,35,18,3,96,23,23,0,73,72,1,101,55,46,43,3,253,81,101,13,34,2,16,6,261,30,24,52,152,3,112,67,45,210,210,0
"E01026866",2011,"Norwich 006D","Total",1265,128,13,0,13,115,83,29,1,2,263,185,147,21,15,2,45,33,146,87,37,19,3,85,16,16,0,69,69,0,74,42,32,28,4,179,58,65,15,25,0,12,4,126,23,14,28,58,3,47,24,23,217,217,0
"E01026867",2011,"Norwich 006E","Total",1077,36,4,0,4,32,20,12,0,0,88,54,41,7,6,0,23,11,61,29,17,14,1,78,17,17,0,61,60,1,86,50,36,33,3,234,70,92,10,38,2,17,5,222,22,22,55,121,2,119,82,37,153,153,0
"E01026868",2011,"Norwich 006F","Total",1140,59,4,0,4,55,40,11,4,0,109,63,48,7,5,3,35,11,91,39,34,14,4,80,24,24,0,56,55,1,72,42,30,25,5,196,66,85,9,19,3,13,1,207,25,21,37,124,0,88,63,25,238,238,0
"E01026869",2011,"Norwich 006G","Total",1006,19,2,0,2,17,11,6,0,0,91,56,47,6,2,1,26,9,62,31,14,14,3,77,11,10,1,66,65,1,87,60,27,22,5,245,89,90,20,29,2,10,5,256,24,25,61,146,0,104,51,53,65,65,0
"E01033434",2011,"Norwich 011G","Total",926,197,16,0,16,181,107,52,14,8,260,173,128,19,21,5,65,22,129,76,31,17,5,63,22,21,1,41,41,0,28,14,14,14,0,74,34,20,2,7,0,8,3,45,9,1,12,22,1,20,12,8,110,110,0
"E01033435",2011,"Norwich 005G","Total",1394,220,17,0,17,203,148,39,12,4,267,188,163,13,8,4,55,24,129,63,46,19,1,60,16,16,0,44,44,0,59,31,28,22,6,150,41,66,5,16,2,15,5,89,17,8,18,46,0,50,40,10,370,370,0
"E01033436",2011,"Norwich 005H","Total",999,62,14,0,14,48,32,14,2,0,116,70,54,10,5,1,27,19,103,55,24,14,10,46,11,11,0,35,33,2,61,37,24,20,4,194,75,67,9,29,1,10,3,171,18,12,45,94,2,84,57,27,162,162,0
"E01033437",2011,"Norwich 011H","Total",1060,83,16,0,16,67,41,15,9,2,175,125,93,14,17,1,32,18,118,65,36,13,4,67,10,10,0,57,57,0,67,46,21,18,3,189,52,87,6,23,3,14,4,147,22,13,32,79,1,94,56,38,120,120,0
"E01033438",2011,"Norwich 014A","Total",1006,147,25,0,25,122,70,28,22,2,264,181,124,19,34,4,55,28,130,85,30,11,4,73,30,30,0,43,43,0,68,42,26,23,3,106,41,40,2,8,2,10,3,72,15,3,19,34,1,62,34,28,84,84,0
"E01033439",2011,"Norwich 014B","Total",1209,165,24,0,24,141,80,51,10,0,285,187,140,18,23,6,68,30,167,89,50,26,2,80,13,13,0,67,66,1,92,61,31,28,3,191,58,75,12,22,1,16,7,99,28,6,18,45,2,61,33,28,69,69,0
"E01033440",2011,"Norwich 014C","Total",950,141,14,0,14,127,57,49,16,5,197,140,98,20,17,5,39,18,106,64,27,14,1,53,16,16,0,37,37,0,67,42,25,21,4,135,44,58,7,15,1,8,2,117,21,10,23,61,2,58,30,28,76,76,0
