"lsoa11cd","date","lsoa11nm","Rural Urban","Industry: All categories: Industry; measures: Value","Industry: A Agriculture, forestry and fishing; measures: Value","Industry: B Mining and quarrying; measures: Value","Industry: C Manufacturing; measures: Value","Industry: C10-12 Manufacturing: Food, beverages and tobacco; measures: Value","Industry: C13-15 Manufacturing: Textiles, wearing apparel and leather and related products; measures: Value","Industry: C16,17 Manufacturing: Wood, paper and paper products; measures: Value","Industry: C19-22 Manufacturing: Chemicals, chemical products, rubber and plastic; measures: Value","Industry: C23-25 Manufacturing: Low tech; measures: Value","Industry: C26-30 Manufacturing: High tech; measures: Value","Industry: C18, 31, 32 Manufacturing: Other; measures: Value","Industry: D Electricity, gas, steam and air conditioning supply; measures: Value","Industry: E Water supply, sewerage, waste management and remediation activities; measures: Value","Industry: F Construction; measures: Value","Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Industry: H Transport and storage; measures: Value","Industry: I Accommodation and food service activities; measures: Value","Industry: J Information and communication; measures: Value","Industry: K Financial and insurance activities; measures: Value","Industry: L Real estate activities; measures: Value","Industry: M Professional, scientific and technical activities; measures: Value","Industry: N Administrative and support service activities; measures: Value","Industry: O Public administration and defence; compulsory social security; measures: Value","Industry: P Education; measures: Value","Industry: Q Human health and social work activities; measures: Value","Industry: R,S Arts, entertainment and recreation; other service activities; measures: Value","Industry: T Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use; measures: Value","Industry: U Activities of extraterritorial organisations and bodies; measures: Value"
"E01026822",2011,"Norwich 007A","Total",1008,3,6,40,9,2,2,2,3,11,11,3,3,50,171,25,110,51,68,20,77,42,55,115,117,52,0,0
"E01026823",2011,"Norwich 007B","Total",1134,1,7,50,12,2,0,4,6,11,15,3,4,49,162,25,114,65,92,21,110,48,34,124,146,79,0,0
"E01026824",2011,"Norwich 007C","Total",676,0,0,41,12,5,0,4,3,6,11,2,3,26,136,17,61,21,34,12,37,39,20,72,102,53,0,0
"E01026825",2011,"Norwich 007D","Total",713,2,2,53,12,3,2,6,5,13,12,0,3,46,120,19,58,34,50,7,32,32,33,87,82,53,0,0
"E01026826",2011,"Norwich 007E","Total",647,3,2,46,13,1,6,1,5,7,13,0,4,34,111,30,65,36,46,13,28,39,28,48,72,42,0,0
"E01026827",2011,"Norwich 007F","Total",558,1,2,40,9,2,4,1,4,8,12,4,3,48,101,22,53,15,27,8,28,38,22,37,69,39,1,0
"E01026828",2011,"Norwich 002A","Total",702,3,0,79,17,2,2,12,18,13,15,1,7,55,162,39,51,14,25,8,12,55,24,44,85,37,1,0
"E01026829",2011,"Norwich 002B","Total",983,2,4,80,11,3,8,11,5,17,25,3,13,51,185,49,66,39,79,10,55,60,34,60,121,72,0,0
"E01026830",2011,"Norwich 002C","Total",570,2,0,50,9,5,5,6,6,9,10,1,8,39,102,28,40,15,33,7,24,36,25,50,72,38,0,0
"E01026831",2011,"Norwich 002D","Total",792,5,5,60,11,1,2,5,7,14,20,0,6,32,115,27,44,37,70,10,56,40,41,95,111,38,0,0
"E01026832",2011,"Norwich 002E","Total",553,2,0,65,17,1,0,11,7,15,14,2,3,54,125,29,48,6,21,2,13,34,18,35,55,40,1,0
"E01026833",2011,"Norwich 002F","Total",520,2,0,49,9,2,3,6,1,15,13,1,6,41,123,41,56,10,9,3,10,38,14,31,58,28,0,0
"E01026834",2011,"Norwich 002G","Total",623,3,1,74,15,2,2,6,10,12,27,0,8,56,135,27,46,10,26,2,18,40,18,42,83,34,0,0
"E01026835",2011,"Norwich 009A","Total",819,4,2,33,9,2,0,3,4,6,9,0,3,17,91,8,79,41,50,9,90,27,25,140,144,56,0,0
"E01026836",2011,"Norwich 009B","Total",835,2,0,31,7,1,0,2,6,6,9,1,3,23,91,8,53,37,53,12,73,24,47,207,122,47,1,0
"E01026837",2011,"Norwich 009C","Total",848,2,0,30,3,1,3,7,2,6,8,1,4,31,108,13,63,51,53,13,74,17,34,162,152,40,0,0
"E01026838",2011,"Norwich 009D","Total",790,2,0,16,3,3,0,4,1,1,4,2,1,28,92,8,43,31,55,8,74,16,46,177,147,43,0,1
"E01026839",2011,"Norwich 009E","Total",864,2,0,15,4,1,0,0,1,3,6,0,1,19,133,8,76,42,64,13,63,29,43,186,112,57,1,0
"E01026840",2011,"Norwich 009F","Total",1016,2,2,48,4,3,2,5,6,14,14,2,2,27,133,13,68,36,60,18,96,26,61,217,141,63,1,0
"E01026841",2011,"Norwich 003A","Total",927,7,0,55,11,2,1,7,6,12,16,2,5,61,165,30,75,25,75,10,55,35,60,87,132,48,0,0
"E01026842",2011,"Norwich 003B","Total",1040,3,1,92,14,1,4,11,13,15,34,1,2,78,173,37,61,37,98,12,68,41,58,104,117,57,0,0
"E01026843",2011,"Norwich 003C","Total",961,0,0,62,10,2,2,6,9,10,23,0,4,70,202,32,58,26,68,10,52,60,51,95,136,35,0,0
"E01026844",2011,"Norwich 003D","Total",821,1,1,57,7,2,5,9,12,9,13,4,7,73,160,39,62,20,68,16,29,47,39,56,100,41,1,0
"E01026845",2011,"Norwich 003E","Total",1052,7,0,48,13,3,0,4,7,6,15,3,5,74,131,36,79,39,119,17,74,35,71,112,130,72,0,0
"E01026846",2011,"Norwich 003F","Total",982,2,1,56,17,2,0,7,8,12,10,3,9,75,134,22,84,37,119,19,62,42,49,87,130,50,1,0
"E01026848",2011,"Norwich 015A","Total",778,4,3,65,19,1,3,8,9,13,12,2,3,52,121,60,83,21,47,11,28,44,41,50,105,37,1,0
"E01026849",2011,"Norwich 015B","Total",1073,2,5,64,7,4,3,7,9,14,20,3,2,50,163,33,61,61,118,19,103,36,65,125,100,61,1,1
"E01026850",2011,"Norwich 015C","Total",1101,0,2,77,19,6,2,12,11,14,13,3,3,64,152,49,75,38,115,16,90,53,80,97,129,57,1,0
"E01026852",2011,"Norwich 011A","Total",677,1,3,27,4,1,1,5,3,2,11,1,2,27,77,12,39,34,66,26,49,18,50,115,97,32,1,0
"E01026853",2011,"Norwich 011B","Total",853,1,0,39,15,3,1,2,3,12,3,2,5,39,143,35,66,46,92,16,40,36,55,95,97,46,0,0
"E01026855",2011,"Norwich 011D","Total",890,0,2,40,12,3,1,3,3,11,7,1,1,26,145,18,60,41,79,16,67,27,45,138,144,40,0,0
"E01026856",2011,"Norwich 011E","Total",1014,3,0,33,12,2,1,2,3,8,5,1,1,27,135,14,90,45,43,14,104,19,49,224,150,62,0,0
"E01026857",2011,"Norwich 011F","Total",694,2,1,22,5,0,0,2,3,8,4,1,1,35,90,9,36,30,61,9,73,22,31,113,108,48,2,0
"E01026858",2011,"Norwich 010A","Total",496,1,1,29,6,3,0,3,1,6,10,0,4,35,104,18,34,8,16,9,22,28,20,77,66,24,0,0
"E01026859",2011,"Norwich 010B","Total",634,0,0,42,5,1,2,7,5,6,16,0,2,40,125,20,34,14,23,12,38,28,28,93,97,36,2,0
"E01026860",2011,"Norwich 010C","Total",876,1,0,29,7,1,1,5,6,4,5,1,3,38,175,15,169,28,17,8,42,20,28,158,83,57,1,3
"E01026861",2011,"Norwich 010D","Total",555,5,0,39,8,3,0,4,8,6,10,1,5,37,135,21,43,9,19,4,19,19,9,90,78,22,0,0
"E01026862",2011,"Norwich 010E","Total",574,3,0,25,2,2,0,2,5,5,9,1,3,29,100,14,51,10,10,9,24,31,29,100,104,30,1,0
"E01026863",2011,"Norwich 006A","Total",908,3,0,56,8,5,5,6,7,14,11,2,3,52,142,19,95,21,55,9,59,29,48,146,127,39,3,0
"E01026864",2011,"Norwich 006B","Total",781,3,0,80,18,5,4,12,8,15,18,2,5,72,143,40,47,26,28,8,28,43,31,71,117,35,1,1
"E01026865",2011,"Norwich 006C","Total",810,8,0,68,18,1,2,10,5,13,19,0,8,52,154,39,54,23,40,11,31,53,24,90,121,34,0,0
"E01026866",2011,"Norwich 006D","Total",842,3,1,64,15,2,2,5,9,13,18,3,3,57,133,20,55,34,50,14,50,27,43,117,124,44,0,0
"E01026867",2011,"Norwich 006E","Total",575,5,0,52,8,4,2,11,14,2,11,2,8,52,119,29,44,4,9,2,11,46,12,63,96,21,0,0
"E01026868",2011,"Norwich 006F","Total",607,6,1,43,8,2,3,9,7,5,9,1,8,49,111,25,57,16,17,6,36,47,10,67,82,24,1,0
"E01026869",2011,"Norwich 006G","Total",513,3,0,40,9,0,2,5,8,5,11,0,9,52,104,28,46,5,11,6,13,46,16,39,75,20,0,0
"E01033434",2011,"Norwich 011G","Total",712,2,1,31,7,3,0,4,3,5,9,0,3,37,106,20,38,44,90,11,57,19,37,81,104,31,0,0
"E01033435",2011,"Norwich 005G","Total",891,2,2,55,11,3,1,3,6,17,14,2,2,48,135,13,50,27,46,11,56,27,39,134,203,36,3,0
"E01033436",2011,"Norwich 005H","Total",530,3,0,48,19,2,0,8,5,7,7,1,4,37,107,20,36,6,15,3,23,46,17,59,75,27,1,2
"E01033437",2011,"Norwich 011H","Total",552,4,0,28,9,1,1,3,6,2,6,0,1,23,97,19,42,20,37,7,34,34,32,47,93,33,1,0
"E01033438",2011,"Norwich 014A","Total",621,3,1,20,7,0,0,1,0,4,8,3,1,25,83,15,68,33,55,11,59,21,50,48,75,50,0,0
"E01033439",2011,"Norwich 014B","Total",930,1,2,47,10,1,2,2,9,16,7,1,3,49,159,27,96,42,88,16,68,43,58,98,86,45,1,0
"E01033440",2011,"Norwich 014C","Total",667,3,1,40,10,1,0,3,7,12,7,4,0,25,98,17,67,41,57,8,59,33,25,63,81,44,0,1
"E01033441",2011,"Norwich 014D","Total",846,1,6,54,11,1,1,7,5,19,10,4,3,35,111,20,44,53,106,14,107,22,41,79,95,50,1,0
