"lsoa11cd","date","lsoa11nm","Rural Urban","Adult Lifestage: All categories: Adult lifestage; measures: Value","Adult Lifestage: Age 16 to 24: Total; measures: Value","Adult Lifestage: Age 16 to 24: No dependent children in household; measures: Value","Adult Lifestage: Age 16 to 24: Dependent children in household; measures: Value","Adult Lifestage: Age 25 to 34: Total; measures: Value","Adult Lifestage: Age 25 to 34: No dependent children in household; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 0 to 4; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 5 to 10; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 11 to 15; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 16 to 18; measures: Value","Adult Lifestage: Age 35 to 54: Total; measures: Value","Adult Lifestage: Age 35 to 54: No dependent children in household; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 0 to 4; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 5 to 10; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 11 to 15; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 16 to 18; measures: Value","Adult Lifestage: Age 55 to 64: Total; measures: Value","Adult Lifestage: Age 55 to 64: One person household; measures: Value","Adult Lifestage: Age 55 to 64: Two or more person household: No dependent children; measures: Value","Adult Lifestage: Age 55 to 64: Dependent children in household; measures: Value","Adult Lifestage: Age 65 to 74: Total; measures: Value","Adult Lifestage: Age 65 to 74: One person household; measures: Value","Adult Lifestage: Age 65 to 74: Two or more person household: No dependent children; measures: Value","Adult Lifestage: Age 65 to 74: Dependent children in household; measures: Value","Adult Lifestage: Age 75 and over: Total; measures: Value","Adult Lifestage: Age 75 and over: One person household; measures: Value","Adult Lifestage: Age 75 and over: Two or more person household; measures: Value"
"E01026836",2011,"Norwich 009B","Total",1302,350,306,44,261,210,39,8,4,0,387,159,78,78,54,18,177,37,119,21,69,14,51,4,58,26,32
"E01026837",2011,"Norwich 009C","Total",1261,247,203,44,284,244,33,5,0,2,374,204,61,51,38,20,178,56,108,14,98,36,60,2,80,53,27
"E01026838",2011,"Norwich 009D","Total",1278,331,288,43,219,155,57,5,1,1,406,170,72,92,49,23,161,30,114,17,67,19,47,1,94,34,60
"E01026839",2011,"Norwich 009E","Total",1410,586,564,22,308,261,41,4,2,0,347,185,60,59,35,8,90,30,54,6,39,15,24,0,40,16,24
"E01026840",2011,"Norwich 009F","Total",1419,339,300,39,412,354,42,13,2,1,409,248,59,52,41,9,147,40,99,8,72,21,51,0,40,21,19
"E01026841",2011,"Norwich 003A","Total",1233,214,156,58,429,320,98,10,1,0,392,274,37,33,31,17,98,34,60,4,55,17,36,2,45,22,23
"E01026842",2011,"Norwich 003B","Total",1406,194,145,49,454,351,88,15,0,0,430,280,67,39,25,19,168,52,106,10,87,23,64,0,73,38,35
"E01026843",2011,"Norwich 003C","Total",1542,221,121,100,330,207,97,22,3,1,502,297,70,58,55,22,237,66,157,14,134,43,88,3,118,70,48
"E01026844",2011,"Norwich 003D","Total",1370,202,131,71,362,216,108,30,7,1,439,267,66,48,47,11,174,47,116,11,112,33,78,1,81,32,49
"E01026845",2011,"Norwich 003E","Total",1339,204,147,57,529,397,106,17,8,1,421,289,50,36,29,17,93,35,52,6,50,13,37,0,42,23,19
"E01026846",2011,"Norwich 003F","Total",1378,246,198,48,485,366,94,22,2,1,407,277,58,36,24,12,107,36,66,5,73,30,41,2,60,34,26
"E01026848",2011,"Norwich 015A","Total",1528,231,129,102,312,190,84,27,11,0,484,324,38,53,42,27,190,80,96,14,148,70,73,5,163,112,51
"E01026849",2011,"Norwich 015B","Total",1496,215,179,36,418,358,56,4,0,0,483,318,70,35,46,14,197,58,125,14,112,33,77,2,71,33,38
"E01026850",2011,"Norwich 015C","Total",1558,198,140,58,494,356,110,22,5,1,499,350,71,31,36,11,172,55,113,4,107,36,67,4,88,44,44
"E01026852",2011,"Norwich 011A","Total",1045,104,62,42,132,96,32,2,2,0,352,160,63,57,59,13,228,38,177,13,107,23,84,0,122,77,45
"E01026853",2011,"Norwich 011B","Total",1537,184,143,41,352,265,68,18,0,1,444,325,53,29,25,12,213,83,120,10,144,73,70,1,200,135,65
"E01026855",2011,"Norwich 011D","Total",1391,323,289,34,300,253,40,2,5,0,383,235,59,40,36,13,176,57,109,10,100,33,66,1,109,69,40
"E01026856",2011,"Norwich 011E","Total",1630,532,507,25,425,357,49,9,8,2,382,245,44,43,36,14,161,54,92,15,66,26,37,3,64,33,31
"E01026857",2011,"Norwich 011F","Total",1336,272,224,48,201,169,23,3,5,1,330,161,34,51,67,17,161,42,101,18,158,63,92,3,214,129,85
"E01026858",2011,"Norwich 010A","Total",1277,308,233,75,187,102,57,19,8,1,290,166,26,37,46,15,133,36,90,7,147,42,103,2,212,119,93
"E01026859",2011,"Norwich 010B","Total",1236,292,210,82,217,95,95,19,5,3,394,147,79,85,67,16,118,23,86,9,83,27,55,1,132,49,83
"E01026860",2011,"Norwich 010C","Total",965,256,215,41,129,79,34,12,3,1,208,116,28,23,23,18,123,20,94,9,98,24,73,1,151,61,90
"E01026861",2011,"Norwich 010D","Total",1253,438,326,112,173,89,48,31,4,1,307,130,40,41,57,39,136,14,115,7,89,17,65,7,110,42,68
"E01026862",2011,"Norwich 010E","Total",1074,285,189,96,116,64,29,17,5,1,315,115,46,56,60,38,126,15,98,13,110,27,80,3,122,59,63
"E01026863",2011,"Norwich 006A","Total",1570,455,397,58,299,203,75,15,6,0,428,252,68,57,36,15,169,38,126,5,120,34,81,5,99,46,53
"E01026864",2011,"Norwich 006B","Total",1226,168,74,94,216,105,81,25,3,2,419,233,57,62,45,22,194,24,150,20,124,25,99,0,105,50,55
"E01026865",2011,"Norwich 006C","Total",1492,346,219,127,374,190,135,43,6,0,457,222,65,56,73,41,134,34,84,16,84,30,53,1,97,49,48
"E01026866",2011,"Norwich 006D","Total",1365,300,249,51,329,257,58,10,3,1,376,229,39,44,44,20,157,39,112,6,103,26,76,1,100,42,58
"E01026867",2011,"Norwich 006E","Total",1154,265,135,130,211,79,97,31,3,1,398,182,53,83,61,19,124,23,81,20,79,20,58,1,77,31,46
"E01026868",2011,"Norwich 006F","Total",1180,330,209,121,248,102,114,25,7,0,363,162,63,59,60,19,116,27,77,12,81,19,57,5,42,22,20
"E01026869",2011,"Norwich 006G","Total",1075,169,68,101,196,86,83,24,1,2,371,193,56,45,52,25,147,54,87,6,123,32,88,3,69,31,38
"E01033434",2011,"Norwich 011G","Total",976,192,168,24,356,304,45,4,3,0,231,161,34,17,16,3,91,38,47,6,56,27,27,2,50,35,15
"E01033435",2011,"Norwich 005G","Total",1423,384,319,65,448,244,167,28,8,1,429,201,92,73,50,13,90,19,66,5,43,12,28,3,29,9,20
"E01033436",2011,"Norwich 005H","Total",1109,255,150,105,201,110,73,16,1,1,286,137,46,42,42,19,154,22,124,8,93,29,63,1,120,60,60
"E01033437",2011,"Norwich 011H","Total",1158,206,145,61,206,133,43,23,7,0,350,238,34,25,38,15,163,90,62,11,125,68,56,1,108,68,40
"E01033438",2011,"Norwich 014A","Total",1256,163,137,26,255,225,28,2,0,0,289,211,26,23,23,6,126,66,55,5,143,73,67,3,280,203,77
"E01033439",2011,"Norwich 014B","Total",1233,236,214,22,416,365,43,8,0,0,389,298,39,24,20,8,105,43,56,6,49,20,28,1,38,22,16
"E01033440",2011,"Norwich 014C","Total",970,168,143,25,344,284,41,16,2,1,323,256,23,20,15,9,78,38,39,1,37,21,16,0,20,9,11
"E01033441",2011,"Norwich 014D","Total",1143,209,193,16,493,435,40,13,5,0,279,236,10,14,16,3,77,33,44,0,48,19,28,1,37,12,25
